id,date_period,global_liquidity_tn$,monthly_change_gl,quarterly_change_gl,annual_change_gl,shadow_monetary_base_tn$,monthly_change_smb,annual_change_smb,quarterly_change_smb,monthly_change_gl_smb,quarterly_change_gl_smb,annual_change_gl_smb,monthly_change_gl_%,quarterly_change_gl_%,annual_change_gl_%,monthly_change_smb_%,quarterly_change_smb_%,annual_change_smb_%,monthly_change_gl_smb_%,quarterly_change_gl_smb_%,annual_change_gl_smb_%,collactural_multiplier
72,01/12/2015,105.99,0.7199999999999989,0.30999999999998806,-0.0799999999999983,65.29,0.730000000000004,1.2900000000000063,0.5400000000000063,1.450000000000017,0.8499999999999943,1.210000000000008,0,0,0,1.1307311028500682,0.8339768339768436,2.0156250000000098,0.8537949714420404,0.4987384850085045,0.7114717469277404,
73,01/01/2016,105.72,-0.269999999999996,NULL,NULL,64.76,-0.5300000000000011,NULL,NULL,-0.799999999999983,NULL,NULL,0,NULL,NULL,-0.8117629039669185,NULL,NULL,-0.4670714619336659,NULL,NULL,
74,01/02/2016,107.13,1.4099999999999966,NULL,NULL,66.00,1.2399999999999949,NULL,NULL,2.6499999999999773,NULL,NULL,1,NULL,NULL,1.9147621988881944,NULL,NULL,1.5544345377756787,NULL,NULL,
75,01/03/2016,109.82,2.6899999999999977,3.8299999999999983,NULL,66.67,0.6700000000000017,NULL,1.3799999999999955,3.3600000000000136,5.210000000000008,NULL,2,3,NULL,1.0151515151515178,2.1136468065553613,NULL,1.9407381736267624,3.0418028958430687,NULL,
76,01/04/2016,111.47,1.6500000000000057,NULL,NULL,68.71,2.039999999999992,NULL,NULL,3.6899999999999977,NULL,NULL,1,NULL,NULL,3.0598470076496054,NULL,NULL,2.090770015298316,NULL,NULL,
77,01/05/2016,110.15,-1.3199999999999932,NULL,NULL,67.63,-1.0799999999999983,NULL,NULL,-2.4000000000000057,NULL,NULL,-1,NULL,NULL,-1.5718236064619393,NULL,NULL,-1.332001332001335,NULL,NULL,
78,01/06/2016,110.89,0.7399999999999949,1.0700000000000074,NULL,69.18,1.5500000000000114,NULL,2.510000000000005,2.289999999999992,3.579999999999984,NULL,0,0,NULL,2.29188230075412,3.764811759412037,NULL,1.2881088986387625,2.028443537877491,NULL,
79,01/07/2016,111.19,0.29999999999999716,NULL,NULL,69.66,0.47999999999998977,NULL,NULL,0.7800000000000011,NULL,NULL,0,NULL,NULL,0.6938421509106529,NULL,NULL,0.43316488032431893,NULL,NULL,
80,01/08/2016,111.77,0.5799999999999983,NULL,NULL,70.05,0.39000000000000057,NULL,NULL,0.9699999999999989,NULL,NULL,0,NULL,NULL,0.5598621877691654,NULL,NULL,0.53635609621233,NULL,NULL,
81,01/09/2016,112.60,0.8299999999999983,1.7099999999999937,NULL,69.53,-0.519999999999996,NULL,0.3499999999999943,0.3100000000000023,2.0600000000000023,NULL,0,1,NULL,-0.7423269093504583,0.5059265683723537,NULL,0.1704982950170511,1.1439995557283291,NULL,
82,01/10/2016,111.55,-1.0499999999999972,NULL,NULL,68.49,-1.0400000000000063,NULL,NULL,-2.0900000000000034,NULL,NULL,0,NULL,NULL,-1.4957572270962263,NULL,NULL,-1.1475319826497576,NULL,NULL,
83,01/11/2016,109.92,-1.6299999999999955,NULL,NULL,67.03,-1.4599999999999937,NULL,NULL,-3.0900000000000034,NULL,NULL,-1,NULL,NULL,-2.131698058110664,NULL,NULL,-1.716285269940015,NULL,NULL,
84,01/12/2016,109.46,-0.46000000000000796,-3.1400000000000006,3.469999999999999,66.40,-0.6299999999999955,1.1099999999999994,-3.1299999999999955,-1.089999999999975,-6.269999999999982,4.5800000000000125,0,-2,3,-0.9398776667163887,-4.501653962318417,1.7001072139684474,-0.6159932184232694,-3.442595947949257,2.6739841195703016,
85,01/01/2017,111.94,2.480000000000004,NULL,NULL,67.37,0.9699999999999989,NULL,NULL,3.4499999999999886,NULL,NULL,2,NULL,NULL,1.460843373493974,NULL,NULL,1.961787785738649,NULL,NULL,
86,01/02/2017,112.42,0.480000000000004,NULL,NULL,68.03,0.6599999999999966,NULL,NULL,1.1399999999999864,NULL,NULL,0,NULL,NULL,0.9796645391123595,NULL,NULL,0.6357704534047105,NULL,NULL,
87,01/03/2017,113.75,1.3299999999999983,4.290000000000006,NULL,69.14,1.1099999999999994,NULL,2.739999999999995,2.4399999999999977,7.029999999999973,NULL,1,3,NULL,1.6316331030427744,4.126506024096377,NULL,1.3521751177611514,3.9974980097804917,NULL,
88,01/04/2017,115.20,1.4500000000000028,NULL,NULL,69.87,0.730000000000004,NULL,NULL,2.180000000000007,NULL,NULL,1,NULL,NULL,1.0558287532542725,NULL,NULL,1.1919733172945524,NULL,NULL,
89,01/05/2017,116.70,1.5,NULL,NULL,70.69,0.8199999999999932,NULL,NULL,2.319999999999993,NULL,NULL,1,NULL,NULL,1.1736081293831302,NULL,NULL,1.2535797265899353,NULL,NULL,
90,01/06/2017,117.96,1.259999999999991,4.209999999999994,NULL,71.26,0.5700000000000074,NULL,2.1200000000000045,1.8300000000000125,6.3300000000000125,NULL,1,3,NULL,0.8063375300608395,3.0662424067110274,NULL,0.9765729227813719,3.4610968341626185,NULL,
91,01/07/2017,120.41,2.450000000000003,NULL,NULL,71.38,0.11999999999999034,NULL,NULL,2.569999999999993,NULL,NULL,2,NULL,NULL,0.16839741790624518,NULL,NULL,1.3582073776556354,NULL,NULL,
92,01/08/2017,121.74,1.3299999999999983,NULL,NULL,71.69,0.3100000000000023,NULL,NULL,1.6400000000000148,NULL,NULL,1,NULL,NULL,0.4342953208181595,NULL,NULL,0.8551019344074324,NULL,NULL,
93,01/09/2017,112.43,-9.309999999999988,-5.529999999999987,NULL,72.32,0.6299999999999955,NULL,1.059999999999988,-8.680000000000007,-4.469999999999999,NULL,-7,-4,NULL,0.8787836518342801,1.4875105248386022,NULL,-4.487411466680456,-2.362329563471091,NULL,
94,01/10/2017,122.48,10.049999999999997,NULL,NULL,72.56,0.2400000000000091,NULL,NULL,10.29000000000002,NULL,NULL,8,NULL,NULL,0.33185840707965863,NULL,NULL,5.569688768606236,NULL,NULL,
95,01/11/2017,124.14,1.6599999999999966,NULL,NULL,72.60,0.03999999999999204,NULL,NULL,1.6999999999999886,NULL,NULL,1,NULL,NULL,0.0551267916207167,NULL,NULL,0.8716160787530705,NULL,NULL,
96,01/12/2017,124.34,0.20000000000000284,11.909999999999997,14.88000000000001,72.46,-0.14000000000000057,6.059999999999988,0.14000000000000057,0.060000000000002274,12.050000000000011,20.939999999999998,0,10,13,-0.19283746556473907,0.19358407079646098,9.126506024096367,0.030497102775237508,6.522327469553457,11.907198908222448,
97,01/01/2018,128.19,3.8499999999999943,NULL,NULL,74.28,1.8200000000000074,NULL,NULL,5.6699999999999875,NULL,NULL,3,NULL,NULL,2.51173060999173,NULL,NULL,2.8810975609756033,NULL,NULL,
98,01/02/2018,128.46,0.27000000000001023,NULL,NULL,74.87,0.5900000000000034,NULL,NULL,0.8600000000000136,NULL,NULL,0,NULL,NULL,0.7942918686052819,NULL,NULL,0.4247542845853774,NULL,NULL,
99,01/03/2018,128.79,0.3299999999999841,4.449999999999989,NULL,75.03,0.1599999999999966,NULL,2.5700000000000074,0.4899999999999807,7.019999999999982,NULL,0,3,NULL,0.2137037531721605,3.546784432790515,NULL,0.24098755717305886,3.567073170731698,NULL,
100,01/04/2018,128.53,-0.2599999999999909,NULL,NULL,74.81,-0.21999999999999886,NULL,NULL,-0.47999999999998977,NULL,NULL,0,NULL,NULL,-0.293216046914566,NULL,NULL,-0.23550191345304178,NULL,NULL,
101,01/05/2018,127.11,-1.4200000000000017,NULL,NULL,74.98,0.1700000000000017,NULL,NULL,-1.25,NULL,NULL,-1,NULL,NULL,0.2272423472797777,NULL,NULL,-0.614733943149405,NULL,NULL,
102,01/06/2018,126.21,-0.9000000000000057,-2.5799999999999983,NULL,74.56,-0.4200000000000017,NULL,-0.46999999999999886,-1.3200000000000216,-3.0500000000000114,NULL,0,-2,NULL,-0.5601493731661799,-0.6264161002265745,NULL,-0.6531743282695935,-1.496418408399574,NULL,
103,01/07/2018,125.81,-0.3999999999999915,NULL,NULL,74.48,-0.0799999999999983,NULL,NULL,-0.47999999999996135,NULL,NULL,0,NULL,NULL,-0.1072961373390535,NULL,NULL,-0.2390795437565181,NULL,NULL,
104,01/08/2018,125.04,-0.769999999999996,NULL,NULL,74.77,0.28999999999999204,NULL,NULL,-0.4800000000000182,NULL,NULL,0,NULL,NULL,0.3893662728249087,NULL,NULL,-0.23965250386939843,NULL,NULL,
105,01/09/2018,124.96,-0.0800000000000125,-1.25,NULL,74.54,-0.22999999999998977,NULL,-0.01999999999999602,-0.3100000000000023,-1.2699999999999818,NULL,0,0,NULL,-0.3076100040122907,-0.02682403433475861,NULL,-0.1551473900205206,-0.6325646261891628,NULL,
106,01/10/2018,124.08,-0.8799999999999955,NULL,NULL,74.74,0.19999999999998863,NULL,NULL,-0.6800000000000068,NULL,NULL,0,NULL,NULL,0.2683123155352678,NULL,NULL,-0.34085213032581796,NULL,NULL,
107,01/11/2018,124.66,0.5799999999999983,NULL,NULL,74.02,-0.7199999999999989,NULL,NULL,-0.13999999999998636,NULL,NULL,0,NULL,NULL,-0.9633395772009619,NULL,NULL,-0.0704154511618481,NULL,NULL,
